date,status,adp_status_month
2014-12,sentenced_by_month,132
2015-01,unsentenced_by_month,274
2015-01,sentenced_by_month,124
2015-02,unsentenced_by_month,268
2015-02,sentenced_by_month,120
2015-03,unsentenced_by_month,266
2015-03,sentenced_by_month,123
2015-04,unsentenced_by_month,267
2015-04,sentenced_by_month,143
2015-05,unsentenced_by_month,275
2015-05,sentenced_by_month,154
2015-06,unsentenced_by_month,271
2015-06,sentenced_by_month,141
2015-07,unsentenced_by_month,267
2015-07,sentenced_by_month,132
2015-08,unsentenced_by_month,266
2015-08,sentenced_by_month,136
2015-09,unsentenced_by_month,264
2015-09,sentenced_by_month,130
2015-10,unsentenced_by_month,252
2015-10,sentenced_by_month,133
2015-11,unsentenced_by_month,247
2015-11,sentenced_by_month,124
2015-12,unsentenced_by_month,265
2015-12,sentenced_by_month,120
2016-01,unsentenced_by_month,259
2016-01,sentenced_by_month,116
2016-02,unsentenced_by_month,246
2016-02,sentenced_by_month,131
2016-03,unsentenced_by_month,239
2016-03,sentenced_by_month,154
2016-04,unsentenced_by_month,254
2016-04,sentenced_by_month,150
2016-05,unsentenced_by_month,246
2016-05,sentenced_by_month,151
2016-06,unsentenced_by_month,256
2016-06,sentenced_by_month,147
2016-07,unsentenced_by_month,266
2016-07,sentenced_by_month,164
2016-08,unsentenced_by_month,266
2016-08,sentenced_by_month,153
2016-09,unsentenced_by_month,276
2016-09,sentenced_by_month,151
2016-10,unsentenced_by_month,290
2016-10,sentenced_by_month,128
2016-11,unsentenced_by_month,273
2016-11,sentenced_by_month,124
2016-12,unsentenced_by_month,265
2016-12,sentenced_by_month,117
2017-01,unsentenced_by_month,281
2017-01,sentenced_by_month,101
2017-02,unsentenced_by_month,287
2017-02,sentenced_by_month,100
2017-03,unsentenced_by_month,285
2017-03,sentenced_by_month,101
2017-04,unsentenced_by_month,290
2017-04,sentenced_by_month,96
2017-05,unsentenced_by_month,303
2017-05,sentenced_by_month,105
2017-06,unsentenced_by_month,308
2017-06,sentenced_by_month,102
2017-07,unsentenced_by_month,318
2017-07,sentenced_by_month,107
2017-08,unsentenced_by_month,325
2017-08,sentenced_by_month,108
2017-09,unsentenced_by_month,309
2017-09,sentenced_by_month,126
2017-10,unsentenced_by_month,299
2017-10,sentenced_by_month,136
2017-11,unsentenced_by_month,306
2017-11,sentenced_by_month,138
2017-12,unsentenced_by_month,295
2017-12,sentenced_by_month,137
2018-01,unsentenced_by_month,297
2018-01,sentenced_by_month,128
2018-02,unsentenced_by_month,314
2018-02,sentenced_by_month,140
2018-03,unsentenced_by_month,299
2018-03,sentenced_by_month,136
2018-04,unsentenced_by_month,302
2018-04,sentenced_by_month,133
2018-05,unsentenced_by_month,317
2018-05,sentenced_by_month,83
2018-06,unsentenced_by_month,324
2018-06,sentenced_by_month,122
2018-07,unsentenced_by_month,345
2018-07,sentenced_by_month,133
2018-08,unsentenced_by_month,338
2018-08,sentenced_by_month,122
2018-09,unsentenced_by_month,337
2018-09,sentenced_by_month,133
2018-10,unsentenced_by_month,320
2018-10,sentenced_by_month,127
2018-11,unsentenced_by_month,308
2018-11,sentenced_by_month,108
2018-12,unsentenced_by_month,327
2018-12,sentenced_by_month,118
2019-01,unsentenced_by_month,316
2019-01,sentenced_by_month,96
2019-02,unsentenced_by_month,329
2019-02,sentenced_by_month,89
2019-03,unsentenced_by_month,293
2019-03,sentenced_by_month,118
2019-04,unsentenced_by_month,268
2019-04,sentenced_by_month,114
2019-05,unsentenced_by_month,313
2019-05,sentenced_by_month,97
2019-06,unsentenced_by_month,344
2019-06,sentenced_by_month,104
2019-07,unsentenced_by_month,335
2019-07,sentenced_by_month,91
2019-08,unsentenced_by_month,310
2019-08,sentenced_by_month,88
2019-09,unsentenced_by_month,301
2019-09,sentenced_by_month,86
2019-10,unsentenced_by_month,304
2019-10,sentenced_by_month,89
2019-11,unsentenced_by_month,298
2019-11,sentenced_by_month,89
2019-12,unsentenced_by_month,277
2019-12,sentenced_by_month,90
2020-01,unsentenced_by_month,272
2020-01,sentenced_by_month,90
2020-02,unsentenced_by_month,269
2020-02,sentenced_by_month,96
2020-03,unsentenced_by_month,251
2020-03,sentenced_by_month,95
2020-04,unsentenced_by_month,188
2020-04,sentenced_by_month,45
2020-05,unsentenced_by_month,197
2020-05,sentenced_by_month,38
2020-06,unsentenced_by_month,204
2020-06,sentenced_by_month,33
2020-07,unsentenced_by_month,240
2020-07,sentenced_by_month,48
2020-08,unsentenced_by_month,238
2020-08,sentenced_by_month,39
2020-09,unsentenced_by_month,250
2020-09,sentenced_by_month,41
2020-10,unsentenced_by_month,260
2020-10,sentenced_by_month,42
